,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
15390,4720160216,47,20160216,-0.6357142857142859,-4.835714285714286,3.1214285714285714,3.1499999999999995,265.0,1002.1928571428572,0.004129695,0.393908629,0.033431655,0.010190541,28.11961722,18.16666667
15391,4720160217,47,20160217,0.9642857142857144,-4.671428571428573,6.057142857142857,2.957142857142857,275.7142857142857,1008.1071428571429,0.004475969000000001,0.396578947,0.030573892000000002,0.013267768999999999,27.01946472,17.69565217
15392,4720160218,47,20160218,2.5928571428571425,-3.8571428571428568,9.278571428571428,1.9714285714285715,226.42857142857144,1007.4142857142857,0.005019549,0.510301508,0.028947991,0.018454667,40.09692671,27.83333333
15393,4720160219,47,20160219,4.285714285714287,-0.8642857142857144,8.585714285714285,2.085714285714286,271.42857142857144,1010.5285714285714,0.005368286,0.618414322,0.027908212999999998,0.022560162999999998,58.26277372,39.75
15394,4720160220,47,20160220,3.6214285714285714,-0.9428571428571432,9.05714285714286,2.9142857142857146,247.85714285714286,1006.157142857143,0.0049625,0.577696078,0.028208333,0.017034375,56.95591647,26.91666667
15395,4720160221,47,20160221,0.6285714285714287,-4.1000000000000005,5.678571428571429,2.821428571428572,282.85714285714283,1013.4071428571428,0.0037605390000000002,0.385960591,0.035740741,0.010525,29.48027842,15.89583333
15396,4720160222,47,20160222,2.8357142857142854,-2.15,7.5857142857142845,1.4,226.42857142857144,1014.3571428571428,0.004580446,0.530445545,0.023077102999999998,0.022345526,37.81924883,25.47916667
15397,4720160223,47,20160223,3.6357142857142857,-1.3785714285714288,9.028571428571428,3.0571428571428565,276.42857142857144,1012.1142857142858,0.00438806,0.51840796,0.032422535,0.016904762,63.60280374,37.19565217
15398,4720160224,47,20160224,-0.8857142857142859,-4.471428571428572,3.3499999999999988,2.5357142857142865,255.0,1015.9428571428572,0.003575703,0.399744246,0.030419277,0.014182016,26.9253012,16.31914894
15399,4720160225,47,20160225,-0.007142857142857125,-6.092857142857143,5.285714285714287,2.6785714285714284,263.57142857142856,1016.9071428571428,0.004260925,0.44010282799999995,0.034368932000000005,0.013811957,37.99514563,24.4893617
15400,4720160226,47,20160226,2.4142857142857137,-1.9214285714285717,6.678571428571429,2.1142857142857143,244.28571428571428,1012.8928571428572,0.003975591,0.545572917,0.033553922,0.018571111,67.3980344,45.59090909
15401,4720160227,47,20160227,3.9071428571428575,-0.15714285714285708,9.978571428571428,1.7785714285714287,287.85714285714283,1008.8142857142857,0.004228856,0.619852941,0.031494145,0.019728646000000002,72.49074074,52.20833333
