,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),일 최심신적설(cm),일강수량(mm),강수 계속시간(hr)
171,1120160620,11,20160620,24.7,19.6,30.7,1.7,250.0,996.7,0.0,0.0,0.0
172,1120160621,11,20160621,26.0,21.0,31.3,1.7,270.0,996.8,0.0,0.0,0.0
173,1120160622,11,20160622,24.3,20.9,30.2,2.0,50.0,995.5,0.0,30.5,4.37
174,1120160623,11,20160623,24.7,19.6,29.4,2.1,50.0,995.9,0.0,0.1,1.38
175,1120160624,11,20160624,23.1,21.1,25.7,2.0,270.0,989.7,0.0,3.5,11.5
176,1120160625,11,20160625,22.8,19.2,26.7,2.8,270.0,993.1,0.0,0.0,0.0
177,1120160626,11,20160626,24.4,19.4,30.3,2.7,270.0,998.7,0.0,0.0,0.0
178,1120160627,11,20160627,24.4,19.9,29.5,1.6,270.0,999.8,0.0,0.0,0.0
179,1120160628,11,20160628,24.7,20.4,29.7,1.8,270.0,1000.5,0.0,0.0,0.0
180,1120160629,11,20160629,25.3,20.9,30.2,2.2,200.0,1000.3,0.0,0.0,0.0
181,1120160630,11,20160630,24.6,23.0,26.9,2.8,200.0,999.8,0.0,0.2,5.28
182,1120160701,11,20160701,24.0,22.0,26.6,2.3,200.0,994.5,0.0,108.5,13.03
183,1120160702,11,20160702,23.5,20.6,27.7,2.4,270.0,994.9,0.0,4.0,6.17
184,1120160703,11,20160703,23.5,21.1,26.8,1.6,140.0,999.5,0.0,0.0,0.0
185,1120160704,11,20160704,21.8,20.2,24.1,3.0,70.0,999.4,0.0,29.5,13.67
186,1120160705,11,20160705,23.1,20.2,24.8,2.8,230.0,999.6,0.0,100.5,22.92
187,1120160706,11,20160706,22.9,20.3,26.9,1.9,200.0,1003.9,0.0,0.0,1.25
188,1120160707,11,20160707,24.0,20.1,28.5,1.3,250.0,1004.4,0.0,0.0,0.92
